abbo,0.00
ABC,0.33
ABCD,0.00
abo,0.00
af,1.00
African catfish,0.60
Africoon,0.67
Afro-Saxon,0.00
albino,0.00
alligator bait,1.00
Americoon,1.00
Amo,0.20
anchor baby,0.50
Angie,0.00
Anglo,0.02
Ann,0.00
ape,0.67
apple,0.00
Argie,0.03
Armo,0.00
Aunt Jane,0.00
Aunt Jemima,0.00
Aunt Mary,0.93
Aunt Sally,0.00
azn,0.00
bamboo coon,0.93
banana,0.00
banana bender,0.37
banana lander,0.00
banjo lips,0.07
bans and cans,0.13
beach nigger,0.56
bean dipper,0.00
beaner,0.29
beaner shnitzel,0.33
beaney,0.00
Bengali,0.00
bhrempti,0.00
bint,0.07
bird,0.03
bitch,0.41
bitter clinger,0.52
bix nood,0.12
black Barbie,0.00
black dago,1.00
blaxican,0.00
blockhead,0.00
bludger,0.00
blue gum,0.04
bluegum,0.00
bog hopper,0.00
Bog Irish,0.00
bog jumper,0.00
bog trotter,0.00
bogan,0.10
bong,0.00
boo,0.00
boojie,0.00
book book,0.00
boon,0.00
booner,0.00
boong,0.00
boonga,0.00
boonie,0.00
border bunny,0.00
border hopper,0.96
border jumper,0.96
border nigger,1.00
Bounty bar,0.66
boxhead,0.76
brass ankle,0.00
brownie,0.00
bubble,0.00
buck,0.53
buckethead,0.00
buckra,0.00
Buckwheat,0.00
Buddhahead,0.65
buffie,0.00
bug eater,0.00
buk buk,0.00
bumblebee,0.00
bung,0.00
bunga,0.00
burrhead,0.00
butterhead,0.75
cab nigger,0.79
camel cowboy,0.00
camel fucker,0.66
camel humper,0.12
camel jacker,0.00
camel jockey,0.89
can eater,0.00
carpet pilot,0.27
carrot snapper,0.00
Caublasian,0.00
cave nigger,0.00
celestial,0.07
Charlie,1.00
charva,0.00
charver,0.00
chav,0.07
chee chee,0.00
cheese eating surrender monkey,0.06
chi chi,0.00
chigger,0.00
chili shitter,0.00
Chinaman,0.45
Chinese wetback,1.00
ching chong,0.67
chinig,0.27
chink,0.77
